dates,values
2018-09-12 00:00,14.448
2018-09-13 00:00,14.506
2018-09-14 00:00,14.804
2018-09-15 00:00,14.999
2018-09-16 00:00,15.308
2018-09-17 00:00,15.261
2018-09-18 00:00,15.103
2018-09-19 00:00,14.980
2018-09-20 00:00,15.058
2018-09-21 00:00,15.011
2018-09-22 00:00,15.235
2018-09-23 00:00,15.359
2018-09-24 00:00,15.395
2018-09-25 00:00,15.230
2018-09-26 00:00,15.259
2018-09-27 00:00,15.223
2018-09-28 00:00,15.105
2018-09-29 00:00,14.965
2018-09-30 00:00,14.714
2018-10-01 00:00,14.620
2018-10-02 00:00,14.681
2018-10-03 00:00,14.909
2018-10-04 00:00,15.262
2018-10-05 00:00,15.663
2018-10-06 00:00,16.047
2018-10-07 00:00,16.443
2018-10-08 00:00,16.695
2018-10-09 00:00,16.952
2018-10-10 00:00,16.988
2018-10-11 00:00,16.758
2018-10-12 00:00,16.480
2018-10-13 00:00,16.215
2018-10-14 00:00,16.034
2018-10-15 00:00,15.968
2018-10-16 00:00,16.074
2018-10-17 00:00,16.012
2018-10-18 00:00,15.915
2018-10-19 00:00,15.706
2018-10-20 00:00,15.356
2018-10-21 00:00,15.139
2018-10-22 00:00,14.865
2018-10-23 00:00,14.562
2018-10-24 00:00,14.310
2018-10-25 00:00,14.117
2018-10-26 00:00,13.908
2018-10-27 00:00,13.863
2018-10-28 00:00,13.667
2018-10-29 00:00,13.679
2018-10-30 00:00,13.576
2018-10-31 00:00,13.554
2018-11-01 00:00,16.340
2018-11-02 00:00,16.441
2018-11-03 00:00,16.543
2018-11-04 00:00,16.825
2018-11-05 00:00,16.911
2018-11-06 00:00,16.919
2018-11-07 00:00,16.802
2018-11-08 00:00,16.640
2018-11-09 00:00,16.489
2018-11-10 00:00,16.361
2018-11-11 00:00,16.191
2018-11-12 00:00,16.065
2018-11-13 00:00,16.147
2018-11-14 00:00,16.306
2018-11-15 00:00,16.460
2018-11-16 00:00,16.663
2018-11-17 00:00,16.606
2018-11-18 00:00,16.523
2018-11-19 00:00,16.525
2018-11-20 00:00,16.551
2018-11-21 00:00,16.515
2018-11-22 00:00,16.514
2018-11-23 00:00,16.374
2018-11-24 00:00,16.125
2018-11-25 00:00,15.926
2018-11-26 00:00,15.632
2018-11-27 00:00,15.332
2018-11-28 00:00,14.756
2018-11-29 00:00,14.238
2018-11-30 00:00,13.782
2018-12-01 00:00,11.107
2018-12-02 00:00,10.736
2018-12-03 00:00,10.488
2018-12-04 00:00,10.122
2018-12-05 00:00,9.960
2018-12-06 00:00,9.780
2018-12-07 00:00,9.701
2018-12-08 00:00,9.634
2018-12-09 00:00,9.590
2018-12-10 00:00,9.431
2018-12-11 00:00,9.317
2018-12-12 00:00,9.166
2018-12-13 00:00,9.005
2018-12-14 00:00,8.918
2018-12-15 00:00,8.856
2018-12-16 00:00,8.692
2018-12-17 00:00,8.639
2018-12-18 00:00,8.459
2018-12-19 00:00,8.398
2018-12-20 00:00,8.332
2018-12-21 00:00,8.237
2018-12-22 00:00,8.144
2018-12-23 00:00,8.063
2018-12-24 00:00,7.944
2018-12-25 00:00,7.924
2018-12-26 00:00,7.852
2018-12-27 00:00,7.762
2018-12-28 00:00,7.751
2018-12-29 00:00,7.749
2018-12-30 00:00,7.827
2018-12-31 00:00,7.896
